name	sample_age	pop	node_id	left	right	length
EUR_11	40000	EUR	24	9124821	9295311	170490
EUR_11	40000	EUR	24	52064735	52281469	216734
EUR_11	40000	EUR	24	60563673	60626399	62726
EUR_11	40000	EUR	24	60994045	61902227	908182
EUR_11	40000	EUR	24	67791853	67800157	8304
EUR_11	40000	EUR	24	71200307	71326783	126476
EUR_11	40000	EUR	24	81048551	81213693	165142
EUR_11	40000	EUR	25	8503908	8792092	288184
EUR_11	40000	EUR	25	23527826	23738556	210730
EUR_11	40000	EUR	25	23992409	24045790	53381
EUR_11	40000	EUR	25	40473520	40503235	29715
EUR_11	40000	EUR	25	42407528	42620332	212804
EUR_11	40000	EUR	25	45574043	45683743	109700
EUR_11	40000	EUR	25	50633803	51016385	382582
EUR_11	40000	EUR	25	51228698	51480603	251905
EUR_11	40000	EUR	25	51709450	51791889	82439
EUR_11	40000	EUR	25	55404998	55529279	124281
EUR_11	40000	EUR	25	81009893	81054615	44722
EUR_11	40000	EUR	25	82063760	82504403	440643
EUR_11	40000	EUR	25	96400321	96500528	100207
EUR_11	40000	EUR	25	98698985	98744848	45863
EUR_12	40000	EUR	26	831478	841792	10314
EUR_12	40000	EUR	26	38563900	38741562	177662
EUR_12	40000	EUR	26	42283776	42733645	449869
EUR_12	40000	EUR	26	55497705	55555526	57821
EUR_12	40000	EUR	26	56335241	56371898	36657
EUR_12	40000	EUR	26	70984419	70995320	10901
EUR_12	40000	EUR	26	81009893	81054615	44722
EUR_12	40000	EUR	26	81300145	81504700	204555
EUR_12	40000	EUR	26	93049459	93209105	159646
EUR_12	40000	EUR	27	552966	568870	15904
EUR_12	40000	EUR	27	41360304	41392681	32377
EUR_12	40000	EUR	27	42407528	42909322	501794
EUR_12	40000	EUR	27	43738690	44068363	329673
EUR_12	40000	EUR	27	45574043	45683743	109700
EUR_12	40000	EUR	27	66886162	67115358	229196
EUR_12	40000	EUR	27	83815164	84307244	492080
EUR_13	40000	EUR	28	831478	841792	10314
EUR_13	40000	EUR	28	9030622	9056718	26096
EUR_13	40000	EUR	28	14048169	14086667	38498
EUR_13	40000	EUR	28	15366764	15391457	24693
