pop	parent	N	tsplit_gen	tsplit_orig	tremove_gen	tremove_orig	pop_id	parent_id
ancestor	__pop_is_ancestor	10000	1	1000000	13001	649000	0	-1
AFR	ancestor	10000	12964	650000	-1	-1	1	0
NEA	ancestor	2000	12964	650000	-1	-1	2	0
EUR	AFR	5000	34075	80000	-1	-1	3	1
